"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2184","CreateChat_ShouldReturn200_WhenUserExists","ThatChat.Backend.Tests","Tue Dec 09 21:06:29 UTC 2025","passed","Tue Dec 09 21:06:31 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","CreateChat_ShouldReturn200_WhenUserExists"
"","95","Middleware_ShouldHandleConcurrentRequests","ThatChat.Backend.Tests","Tue Dec 09 21:06:32 UTC 2025","passed","Tue Dec 09 21:06:32 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","Middleware_ShouldHandleConcurrentRequests"
"","361","Upload_ShouldFail_WhenFileIsTooLarge","ThatChat.Backend.Tests","Tue Dec 09 21:06:32 UTC 2025","passed","Tue Dec 09 21:06:32 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","Upload_ShouldFail_WhenFileIsTooLarge"
"","352","SendMessage_ShouldBroadcastToGroup","ThatChat.Backend.Tests","Tue Dec 09 21:06:33 UTC 2025","passed","Tue Dec 09 21:06:34 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","SendMessage_ShouldBroadcastToGroup"
"","745","JoinChat_ShouldNotReceiveMessages_IfUserHasNoAccess","ThatChat.Backend.Tests","Tue Dec 09 21:06:33 UTC 2025","passed","Tue Dec 09 21:06:33 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","JoinChat_ShouldNotReceiveMessages_IfUserHasNoAccess"
"","24","SaveMessage_ShouldFail_IfUserIsNotInChat","ThatChat.Backend.Tests","Tue Dec 09 21:06:34 UTC 2025","passed","Tue Dec 09 21:06:34 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldFail_IfUserIsNotInChat"
"","148","CreateOrGetPrivateChat_ShouldCreateNew_WhenNoneExists","ThatChat.Backend.Tests","Tue Dec 09 21:06:34 UTC 2025","passed","Tue Dec 09 21:06:34 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","CreateOrGetPrivateChat_ShouldCreateNew_WhenNoneExists"
"","588","CreateChat_ShouldNotifyTargetUser_ViaSignalR","ThatChat.Backend.Tests","Tue Dec 09 21:06:32 UTC 2025","passed","Tue Dec 09 21:06:33 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","CreateChat_ShouldNotifyTargetUser_ViaSignalR"
"","327","GetChats_ShouldReturnGlobalChat_ForNewUser","ThatChat.Backend.Tests","Tue Dec 09 21:06:31 UTC 2025","passed","Tue Dec 09 21:06:32 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","GetChats_ShouldReturnGlobalChat_ForNewUser"
"","64","SaveMessage_ShouldReturnNull_WhenMessageAndFileAreEmpty","ThatChat.Backend.Tests","Tue Dec 09 21:06:34 UTC 2025","passed","Tue Dec 09 21:06:34 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldReturnNull_WhenMessageAndFileAreEmpty"
"","14","SaveMessage_ShouldReturnNull_WhenMessageIsTooLong","ThatChat.Backend.Tests","Tue Dec 09 21:06:34 UTC 2025","passed","Tue Dec 09 21:06:34 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldReturnNull_WhenMessageIsTooLong"
